location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Новая Москва,sale,flat,14,25,3,109.4,47750000.0,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский,2017,-1,"12,2 м²"
Новая Москва,sale,flat,6,33,3,97.7,36990000.0,Рязанский, Михайлова,30Ак4,Плющево,Михайловский парк,2021,51 м²,17 м²
Новая Москва,sale,flat,2,16,2,49.4,6031500.0,Московский,,,,Бирюзова Парк ЖК,2027,"21,6 м²","13,2 м²"
Новая Москва,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,2015,-1,20 м²
Новая Москва,sale,flat,2,19,3,99.0,53000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы,2018,-1,7 м²
Новая Москва,sale,flat,2,8,2,71.47,7100000.0,Аксай, Луначарского,52,,Простор,2025,"34,2 м²",17 м²
Новая Москва,sale,flat,10,15,3,80.0,85000000.0,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava,2023,50 м²,16 м²
Новая Москва,sale,flat,8,53,3,150.0,135000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,2011,-1,-1
Новая Москва,sale,flat,3,21,2,66.5,65990000.0,Пресненский, Сергея Макеева,9к4,Улица 1905 года,RedSide,2017,-1,-1
Новая Москва,sale,flat,2,7,2,77.88,28815600.0,Кировский,Социалистическая ,118,,Дом-резиденция Собрание,2026,"34,1 м²","15,9 м²"
Новая Москва,sale,flat,6,23,3,103.8,48500000.0,Раменки, Столетова,7,Ломоносовский проспект,,2009,66 м²,8 м²
Новая Москва,sale,flat,6,6,2,62.8,62000000.0,Хамовники,Комсомольский проспект,9А,Парк Культуры,Николаевский дом,2013,40 м²,10 м²
Новая Москва,sale,flat,3,6,2,124.3,270980000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды,2025,"37,8 м²","39,4 м²"
Новая Москва,sale,flat,6,6,3,83.6,47900000.0,Дорогомилово,Студенческая ,32,Студенческая,,1936,-1,"20,1 м²"
Новая Москва,sale,flat,7,20,2,57.9,27000000.0,Алексеевский,Староалексеевская ,3,Алексеевская,,2022,"33,6 м²","11,4 м²"
Новая Москва,sale,flat,12,17,2,44.4,28704600.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy,2025,"27,6 м²","5,1 м²"
